ID;Strassenname;PLZ;Region
1;Musestieg 5;6502;Thale
2;Oeringer Str. 20;6484;Quedlinburg
3;Felsenkellerweg 21;6493;Ballenstedt
4;Kyffhäuserstr. 64;6567;Bad Frankenhausen
5;Weinbergstr. 2;6526;Sangerhausen
6;Hauptstr. 55/56;6577;Heldrungen
7;Geschwister-Scholl-Str. 55;6449;Aschersleben
8;Kachstedter Str. 4;6556;Artern
9;Klausstr. 1A;6343;Mansfeld
10;Doktorsteg 2;6333;Hettstedt
11;Rathenau-Straße;6295;Eisleben
12;Hallesche Str. 88;6295;Eisleben
13;Friedenstr. 7;6571;Roßleben
14;Am Platz der Jugend 1A;6406;Bernburg
15;Parkstraße/ Mauerstr. 1;6406;Bernburg
16;Merseburger Str. 67;6268;Querfurt
17;Am Kümmelbrunnen;7426;Königsee
18;Leipziger Str. 36I;6366;Köthen
19;Nietlebener Str. 3;6126;Halle-Nördl.Neustadt
20;Kaiserstr. 48;6385;Aken
21;Naumburger Straße;6628;Bad Kösen
22;Salinenstr. 8;6628;Bad Kösen
23;Trothaer Str. 62;6128;Halle-Trotha
24;Trothaer Str. 62;6118;Halle
25;Schwarzburger Chaussee 59-61;7407;Rudolstadt-West
26;Böllberger Weg 26A;6110;Halle-Mitte
27;Frenzelstr. 2;7407;Rudolstadt-Ost
28;Südstadtring 70;6128;Halle-Südstadt
29;Camburger Str. 26;7743;Jena-Nord
30;Krausenstr. 9;6112;Halle-Mitte
31;Krausenstr. 9;6122;Halle
32;Rudolstädter Str. 31;7743;Jena-Burgau
33;Merseburger Str. 221;6130;Halle-Damaschkestraße
34;Broihanstr. 2;6132;Halle-Ammendorf
35;Merseburger Str. 79;6242;Braunsbedra
36;Rosa-Luxemburg-Str. 30;6618;Naumburg
37;Fingersteinstr. 22;7318;Saalfeld
38;Melanchthonstr. 34;7318;Saalfeld
39;König-Heinrich-Str. 13;6217;Merseburg
40;Str. des Friedens 2;6217;Merseburg
41;Köthener Str. 70A;6847;Dessau-Alten
42;Koethener Str. 70a;6844;Dessau
43;Christian-Eckhardt-Str. 40;7768;Kahla
44;Merseburger Str. 72;6667;Weißenfels
45;Askanische Str. 115;6846;Dessau-Mitte
46;Tagewerben Str. 38;6667;Weißenfels
47;Breite Str. 58;6231;Bad Dürrenberg
48;Leipziger Str. 83-89;6766;Wolfen
49;Neustädter Str. 149;7381;Pößneck
50;Jenaer Str. 1-5;7607;Eisenberg
51;Eisenberger Str. 120;7629;Hermsdorf
52;Hallesche Str. 64;4435;Schkeuditz
53;Friedensstr. 5-7;6749;Bitterfeld
54;Schleizer Str. 10;7806;Neustadt/ Orla
55;Richard-Wagner-Str. 9A;4509;Delitzsch
56;Leipziger Str. 67;4420;Markranstädt
57;Großmiltitzer Str. 45;4205;Leipzig-Grünau
58;Lützner Str. 396;4205;Leipzig-Schönau
59;Bahnhofstr. 2;6773;Gräfenhainichen
60;Stuttgarter Allee 2;4207;Leipzig-Grünau
61;Friedensstr. 27;6712;Zeitz
62;Hauschildstr. 1;4177;Leipzig-Altlindenau
63;Zschochersche Str. 79;4229;Leipzig-Plagwitz
64;Geußnitzer Straße;6712;Zeitz
65;Dieskaustr. 175;4249;Leipzig-Großzschocher
66;Max-Liebermann-Str. 99;4157;Leipzig-Gohlis
67;Groitzscher Fußweg 1;4523;Pegau
68;Leipziger Vorstadt / B2;4523;Pegau
69;Theresienstr. 5;4129;Leipzig-Eutritzsch
70;Petersstr. 36/44;4109;Leipzig-Mitte
71;Windscheidstr. 1;4277;Leipzig-Connewitz
72;Str. des Bergmanns 10;7545;Gera-Bieblach
73;Koburger Str. 45;4416;Markkleeberg
74;Langenberger Str. 21;7552;Gera-Langenberg
75;Str. des Friedens 32/34;7548;Gera-Debschwitz
76;Pegauer Str. 141;4442;Zwenkau
77;Zwickauer Str. 66;4277;Leipzig-Marienbrunn
78;Theklaer Str. 150;4349;Leipzig-Thekla
79;Zeulsdorfer Str. 50A;7549;Gera-Lusan
80;Torgauer Str. 74;4318;Leipzig-Sellerhausen
81;Geraer Str. 21;7907;Schleiz
82;Holzhäuser Str. 104;4299;Leipzig-Stötteritz
83;Zum Tännig 2;7356;Bad Lobenstein
84;Am Flugplatz 5;7546;Gera
85;Dessauer Str. 279;6886;Wittenberg
86;Riesaer Str. 75;4328;Leipzig-Paunsdorf
87;Leipziger Str. 117;4425;Taucha
88;Röthaer Str. 30C;4564;Böhlen
89;Berliner Chaussee 13;6886;Wittenberg
90;Baderdamm 17;4610;Meuselwitz
91;Schmiedeberger Str. 56B;4849;Bad Düben
92;Schopperstr. 32C;7937;Zeulenroda
93;Ziegelstr. 4;4838;Eilenburg
94;Lobstädter Str. 17;4552;Borna
95;Lödlaer Chaussee 2;4617;Lödla-Oberlödla
96;Brandiser Str. 88;4683;Naunhof
97;Sachsenallee;4552;Borna
98;Schleizer Str. 49;7926;Gefell
99;Ronneburger Str. 118A;4626;Schmölln
100;Kauerndorfer Allee 10;4600;Altenburg
101;Trageser Str. 36;4567;Kitzscher
102;August-Bebel-Str. 21;7973;Greiz
103;Wiesenmühlenweg 1;4654;Frohburg
104;Dresdener Str. 7;4808;Wurzen
105;Amselstr. 2;8451;Crimmitschau
106;Bahnhofstr. 12;4668;Grimma
107;Äussere Crimmitschauer Str. 82;8393;Meerane
108;Crimmitschauer Str. 8;8412;Werdau
109;Hofer Str. 21;8527;Plauen-Süd
110;Rosa-Luxemburg-str. 70;6917;Jessen
111;Zwickauer Str. 97;8468;Reichenbach
112;Grimmaische Str. 37-39;4643;Geithain
113;Bahnhofstraße;8115;Lichtentanne
114;Hans-Lorenz-Str. 1;8371;Glauchau
115;Marienthaler Str. 53;8060;Zwickau-Marienthal
116;Oststr. 96;8233;Treuen
117;Leipziger Str. 168;8058;Zwickau-Pölbitz
118;Plauensche Str. 67;8606;Oelsnitz/ Vogtland
119;Am Fuchsgraben 21;8056;Zwickau-Planitz
120;Warschauer Str. 9B;4860;Torgau
121;Wassergasse 1;4680;Colditz
122;Chemnitzer Str. 98A;9322;Penig
123;Zwickauer str. 39;8112;Wilkau-Haßlau
124;Lengenfelder Str. 3;8228;Rodewisch
125;Göltzschtalstr. 47;8209;Auerbach
126;Bahnhofstr. 10A;4874;Belgern
127;Dresdner Str. 122;9337;Hohenstein-Ernstthal
128;Chemnitzer Str. 40;9212;Limbach-Oberfrohna
129;Berliner Str. 1;4916;Herzberg
130;Altmarkt 17-18;4758;Oschatz
131;Adorfer Str. 49;8258;Markneukirchen
132;Hauptstr. 5;4736;Waldheim
133;Stollberger Str. 7;9399;Niederwürschnitz
134;Kobaltstr. 2A;8289;Schneeberg
135;Zwickauer Str. 391-393;9117;Chemnitz-Siegmar
136;Bahnhofstr. 8-10;9648;Mittweida
137;Limbacher Str. 208;9116;Chemnitz-Altendorf
138;Chemnitzer Str. 27;9366;Stollberg
139;Limbacher Str. 31;9116;Chemnitz-Kaßberg
140;Zwickauer Str. 160;9116;Chemnitz-Kappel
141;Holzhofstr. 4;8248;Klingenthal
142;Paul-Bertz-Str. 14;9120;Chemnitz-Helbersdorf
143;Dr.Otto-Nuschke-Str. 9;8280;Aue
144;Schlachthofstr. 2;4720;Döbeln
145;Eckstr. 4;9111;Chemnitz-Schloßchemnitz
146;Wilhelm-Raabe-Str. 52;9120;Chemnitz-Altchemnitz
