ID;Strassenname;PLZ;Region;latitude;longitude
1;Musestieg 5;06502;Thale;51.75044760000001;11.0445755
2;Oeringer Str. 20;06484;Quedlinburg;51.7899816;11.1562559
3;Felsenkellerweg 21;06493;Ballenstedt;51.7232837;11.2210214
4;Kyffhäuserstr. 64;06567;Bad Frankenhausen;51.3534122;11.1045009
5;Weinbergstr. 2;06526;Sangerhausen;51.4585741;11.3008606
6;Hauptstr. 55/56;06577;Heldrungen;51.3024996;11.2186215
7;Geschwister-Scholl-Str. 55;06449;Aschersleben;51.76002399999999;11.4554998
8;Kachstedter Str. 4;06556;Artern;51.3743202;11.2858714
9;Klausstr. 1A;06343;Mansfeld;51.60482589999999;11.4625908
10;Doktorsteg 2;06333;Hettstedt;51.6479145;11.5165972
11;Rathenau-Straße;06295;Eisleben;51.5201936;11.5542584
12;Hallesche Str. 88;06295;Eisleben;51.52163299999999;11.5566008
13;Friedenstr. 7;06571;Roßleben;51.2975687;11.4349393
14;Am Platz der Jugend 1A;06406;Bernburg;51.8034897;11.7373816
15;Parkstraße/ Mauerstr. 1;06406;Bernburg;51.7903887;11.7512509
16;Merseburger Str. 67;06268;Querfurt;51.3816835;11.6086238
17;Am Kümmelbrunnen;07426;Königsee;50.6618668;11.1055954
18;Leipziger Str. 36I;06366;Köthen;51.7459955;11.9908825
19;Nietlebener Str. 3;06126;Halle-Nördl.Neustadt;51.4806448;11.9117257
20;Kaiserstr. 48;06385;Aken;51.8507488;12.0383165
21;Naumburger Straße;06628;Bad Kösen;51.1394521;11.7258836
22;Salinenstr. 8;06628;Bad Kösen;51.1389485;11.7258981
23;Trothaer Str. 62;06128;Halle-Trotha;51.5173567;11.957732
24;Trothaer Str. 62;06118;Halle;51.5173567;11.957732
25;Schwarzburger Chaussee 59-61;07407;Rudolstadt-West;50.71291369999999;11.3196635
26;Böllberger Weg 26A;06110;Halle-Mitte;51.4685224;11.9593477
27;Frenzelstr. 2;07407;Rudolstadt-Ost;50.7259945;11.3721144
28;Südstadtring 70;06128;Halle-Südstadt;51.44866889999999;11.9544193
29;Camburger Str. 26;07743;Jena-Nord;50.9379406;11.5924859
30;Krausenstr. 9;06112;Halle-Mitte;51.4874306;11.9837701
31;Krausenstr. 9;06122;Halle;51.4882626;11.9837664
32;Rudolstädter Str. 31;07743;Jena-Burgau;50.90094860000001;11.5795671
33;Merseburger Str. 221;06130;Halle-Damaschkestraße;51.4561175;11.9850371
34;Broihanstr. 2;06132;Halle-Ammendorf;51.4308916;11.9735506
35;Merseburger Str. 79;06242;Braunsbedra;51.2854411;11.891383
36;Rosa-Luxemburg-Str. 30;06618;Naumburg;51.1503171;11.820824
37;Fingersteinstr. 22;07318;Saalfeld;50.65309120000001;11.3552154
38;Melanchthonstr. 34;07318;Saalfeld;50.644209;11.349919
39;König-Heinrich-Str. 13;06217;Merseburg;51.3580547;11.9934269
40;Str. des Friedens 2;06217;Merseburg;51.3416529;11.9897047
41;Köthener Str. 70A;06847;Dessau-Alten;51.82135;12.19025
42;Koethener Str. 70a;06844;Dessau;51.8211305;12.1898384
43;Christian-Eckhardt-Str. 40;07768;Kahla;50.811086;11.5834442
44;Merseburger Str. 72;06667;Weißenfels;51.212413;11.9667892
45;Askanische Str. 115;06846;Dessau-Mitte;51.8283075;12.2334877
46;Tagewerben Str. 38;06667;Weißenfels;51.2381667;11.9527678
