ID;PLZ;Region;Strassenname;Anzahl_Mitarbeiter;Jahresumsatz;Verkaufsflaeche
1;06502;Thale;Musestieg 5;15;5;30
2;06484;Quedlinburg;Oeringer Str. 20;42;14;98
3;06493;Ballenstedt;Felsenkellerweg 21;54;27;189
4;06567;Bad Frankenhausen;Kyffhäuserstr. 64;24;8;64
5;06526;Sangerhausen;Weinbergstr. 2;230;115;1150
6;06577;Heldrungen;Hauptstr. 55/56;18;6;42
7;06449;Aschersleben;Geschwister-Scholl-Str. 55;567;189;1323
8;06556;Artern;Kachstedter Str. 4;432;216;1296
9;06343;Mansfeld;Klausstr. 1A;675;225;1350
10;06333;Hettstedt;Doktorsteg 2;60;30;210
11;06295;Eisleben;Rathenau-Straße;528;176;1056
12;06295;Eisleben;Hallesche Str. 88;216;108;1080
13;06571;Roßleben;Friedenstr. 7;429;143;1430
14;06406;Bernburg;Am Platz der Jugend 1A;392;196;1176
15;06406;Bernburg;Parkstraße/ Mauerstr. 1;840;420;2520
16;06268;Querfurt;Merseburger Str. 67;864;432;2592
17;07426;Königsee;Am Kümmelbrunnen;306;102;510
18;06366;Köthen;Leipziger Str. 36I;972;486;3402
19;06126;Halle-Nördl.Neustadt;Nietlebener Str. 3;988;494;3458
20;06385;Aken;Kaiserstr. 48;1140;380;1900
21;06628;Bad Kösen;Naumburger Straße;1701;567;5670
22;06628;Bad Kösen;Salinenstr. 8;132;66;660
23;06128;Halle-Trotha;Trothaer Str. 62;1058;529;4232
24;06118;Halle;Trothaer Str. 62;1056;528;5280
25;07407;Rudolstadt-West;Schwarzburger Chaussee 59-61;225;75;450
26;06110;Halle-Mitte;Böllberger Weg 26A;1092;546;4914
27;07407;Rudolstadt-Ost;Frenzelstr. 2;2025;675;6075
28;06128;Halle-Südstadt;Südstadtring 70;1428;476;2380
29;07743;Jena-Nord;Camburger Str. 26;1450;725;5075
30;06112;Halle-Mitte;Krausenstr. 9;240;120;1200
31;06122;Halle;Krausenstr. 9;1674;558;2790
32;07743;Jena-Burgau;Rudolstädter Str. 31;1728;864;6048
33;06130;Halle-Damaschkestraße;Merseburger Str. 221;792;264;1584
34;06132;Halle-Ammendorf;Broihanstr. 2;952;476;2856
35;06242;Braunsbedra;Merseburger Str. 79;1470;735;3675
36;06618;Naumburg;Rosa-Luxemburg-Str. 30;1944;648;6480
37;07318;Saalfeld;Fingersteinstr. 22;666;333;2331
38;07318;Saalfeld;Melanchthonstr. 34;456;228;1824
39;06217;Merseburg;König-Heinrich-Str. 13;1989;663;5304
40;06217;Merseburg;Str. des Friedens 2;960;480;2880
41;06847;Dessau-Alten;Köthener Str. 70A;410;205;2050
