Spaltenname;Anzahl Geheimhaltungen;Relative Anzahl Geheimhaltungen;Relative Anzahl Geheimhaltungen von vorhandenen Werten;Anzahl fehlende Werte;Relative Anzahl fehlender Werte
HH_1_1;471;3.75;3.75;0;0.0
HH_1_2;1814;14.46;14.46;0;0.0
HH_1_3;2048;16.33;16.33;0;0.0
HH_1_4;1817;14.49;14.49;0;0.0
HH_1_5;3088;24.62;24.62;0;0.0
HH_1_6;3679;29.33;29.33;0;0.0
HH_2_1;471;3.75;3.75;0;0.0
HH_2_2;1814;14.46;14.46;0;0.0
HH_2_3;1509;12.03;12.03;0;0.0
HH_2_4;9863;78.63;78.63;0;0.0
HH_2_5;3770;30.05;30.05;0;0.0
HH_2_6;3392;27.04;27.04;0;0.0
HH_2_7;4124;32.88;32.88;0;0.0
HH_2_8;3679;29.33;29.33;0;0.0
HH_3_1;471;3.75;3.75;0;0.0
HH_3_2;1814;14.46;14.46;0;0.0
HH_3_3;2138;17.04;17.04;0;0.0
HH_3_4;2687;21.42;21.42;0;0.0
HH_3_5;2715;21.64;21.64;0;0.0
HH_3_6;3538;28.2;28.2;0;0.0
HH_3_7;3907;31.15;31.15;0;0.0
HH_4_1;471;3.75;3.75;0;0.0
HH_4_2;2809;22.39;22.39;0;0.0
HH_4_3;3026;24.12;24.12;0;0.0
HH_4_4;1465;11.68;11.68;0;0.0
FAM_1_1;743;5.92;5.92;0;0.0
FAM_1_2;2048;16.33;16.33;0;0.0
FAM_1_3;1817;14.49;14.49;0;0.0
FAM_1_4;3088;24.62;24.62;0;0.0
FAM_2_1;743;5.92;5.92;0;0.0
FAM_2_2;1509;12.03;12.03;0;0.0
FAM_2_3;9863;78.63;78.63;0;0.0
FAM_2_4;3770;30.05;30.05;0;0.0
FAM_2_5;4124;32.88;32.88;0;0.0
FAM_2_6;3392;27.04;27.04;0;0.0
FAM_3_1;743;5.92;5.92;0;0.0
FAM_3_2;2012;16.04;16.04;0;0.0
