AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1001000;Flensburg, Stadt; 82 801; 40 713; 42 088;;;;;;
1;Schleswig-Holstein;1002000;Kiel, Landeshauptstadt; 237 667; 114 654; 123 013;;;;;;
1;Schleswig-Holstein;1003000;Lübeck, Hansestadt; 210 679; 100 056; 110 623;;;;;;
1;Schleswig-Holstein;1004000;Neumünster, Stadt; 77 201; 37 769; 39 432;;;;;;
1;Schleswig-Holstein;1051001;Albersdorf; 3 500; 1 694; 1 806;;;;;;
1;Schleswig-Holstein;1051002;Arkebek;225;111;114;;;;;;
1;Schleswig-Holstein;1051003;Averlak;610;310;300;;;;;;
1;Schleswig-Holstein;1051004;Bargenstedt;912;431;481;;;;;;
1;Schleswig-Holstein;1051005;Barkenholm;177;97;80;;;;;;
1;Schleswig-Holstein;1051006;Barlt;799;399;400;;;;;;
1;Schleswig-Holstein;1051008;Bergewöhrden;38;17;21;;;;;;
1;Schleswig-Holstein;1051010;Brickeln;216;106;110;;;;;;
1;Schleswig-Holstein;1051011;Brunsbüttel, Stadt; 12 734; 6 334; 6 400;;;;;;
1;Schleswig-Holstein;1051012;Buchholz; 1 085;552;533;;;;;;
1;Schleswig-Holstein;1051013;Büsum; 4 810; 2 218; 2 592;;;;;;
1;Schleswig-Holstein;1051014;Büsumer Deichhausen;366;168;198;;;;;;
1;Schleswig-Holstein;1051015;Bunsoh;805;410;395;;;;;;
1;Schleswig-Holstein;1051016;Burg (Dithmarschen); 4 187; 2 021; 2 166;;;;;;
1;Schleswig-Holstein;1051017;Busenwurth;277;150;127;;;;;;
1;Schleswig-Holstein;1051019;Dellstedt;774;398;376;;;;;;
1;Schleswig-Holstein;1051020;Delve;711;365;346;;;;;;
1;Schleswig-Holstein;1051021;Diekhusen-Fahrstedt;756;396;360;;;;;;
1;Schleswig-Holstein;1051022;Dingen;659;329;330;;;;;;
1;Schleswig-Holstein;1051023;Dörpling;604;304;300;;;;;;
