RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
000000000000;Deutschland;20035.0;7.1;9.4;18.2;35.5;15.8;159418.0;145702.0;11798.0;1918.0;140339.0;31544350.0;13.5;1.2;51.9;30.5
010000000000;Schleswig-Holstein;20122.0;7.2;10.7;16.5;32.2;10.6;6803.0;6368.0;382.0;53.0;9330.0;1037640.0;12.7;1.1;70.0;10.5
010010000000;Flensburg, Kreisfreie Stadt;18079.0;11.8;12.0;12.9;30.7;10.2;323.0;292.0;26.0;5.0;277.0;60950.0;51.8;3.5;26.8;6.1
010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;17528.0;11.0;8.4;12.1;36.0;16.1;695.0;663.0;27.0;5.0;574.0;64162.0;53.9;5.9;30.0;5.8
010030000000;Lübeck, Hansestadt, Kreisfreie Stadt;17851.0;11.0;11.2;13.7;36.9;14.3;644.0;616.0;26.0;2.0;319.0;121846.0;36.6;5.5;32.7;14.4
010040000000;Neumünster, Kreisfreie Stadt;16866.0;11.2;12.3;13.6;34.4;13.6;270.0;260.0;9.0;1.0;395.0;40913.0;49.7;5.3;42.6;4.5
010510000000;Dithmarschen, Landkreis;18912.0;8.4;13.6;14.9;24.1;5.2;403.0;383.0;17.0;3.0;203.0;49272.0;10.9;0.5;76.5;3.7
010530000000;Herzogtum Lauenburg, Landkreis;21299.0;6.2;11.9;16.0;33.4;11.9;414.0;358.0;48.0;8.0;317.0;47115.0;11.2;0.9;58.3;25.6
010540000000;Nordfriesland, Landkreis;21211.0;7.5;11.2;17.9;35.5;5.4;392.0;367.0;19.0;6.0;105.0;36579.0;10.4;0.7;77.1;4.2
010550000000;Ostholstein, Landkreis;20114.0;7.0;9.6;18.9;28.4;6.5;541.0;495.0;36.0;10.0;71.0;90171.0;11.5;1.6;72.3;10.2
010560000000;Pinneberg, Landkreis;22458.0;5.6;10.0;17.0;26.9;17.2;617.0;563.0;45.0;9.0;286.0;117735.0;21.2;2.3;62.1;8.8
010570000000;Plön, Landkreis;19873.0;6.2;9.6;19.1;29.6;5.7;262.0;252.0;10.0;0.0;151.0;40161.0;9.3;1.1;68.5;11.3
010580000000;Rendsburg-Eckernförde, Landkreis;20324.0;5.6;11.6;18.8;27.0;6.4;543.0;519.0;22.0;2.0;263.0;51195.0;11.0;0.9;72.3;11.4
010590000000;Schleswig-Flensburg, Landkreis;19213.0;8.5;11.2;18.9;46.7;5.4;426.0;397.0;27.0;2.0;349.0;58471.0;10.6;0.6;75.7;6.8
010600000000;Segeberg, Landkreis;20600.0;5.0;10.2;20.2;27.1;10.1;560.0;522.0;38.0;0.0;555.0;146496.0;13.1;1.2;66.5;17.4
010610000000;Steinburg, Landkreis;19231.0;6.1;11.4;19.5;24.4;6.3;331.0;315.0;16.0;0.0;219.0;42036.0;10.9;0.6;72.7;9.4
010620000000;Stormarn, Landkreis;23289.0;4.1;9.1;20.7;29.1;11.8;382.0;366.0;16.0;0.0;5246.0;70537.0;17.0;1.5;66.6;13.7
020000000000;Hamburg;22695.0;7.8;7.4;14.0;28.4;24.5;4503.0;4295.0;198.0;10.0;2731.0;917993.0;59.7;7.7;24.5;6.4
030000000000;Niedersachsen;19067.0;6.9;9.8;16.9;31.6;13.2;19686.0;18405.0;1085.0;196.0;11410.0;2480141.0;13.7;0.9;60.2;21.8
031010000000;Braunschweig, Kreisfreie Stadt;19398.0;8.1;7.4;16.3;35.3;15.7;643.0;604.0;26.0;13.0;205.0;78558.0;46.5;7.1;37.2;13.2
031020000000;Salzgitter, Kreisfreie Stadt;18114.0;9.2;8.1;16.4;32.5;17.0;334.0;321.0;6.0;7.0;34.0;40120.0;28.5;3.4;50.8;17.5
031030000000;Wolfsburg, Kreisfreie Stadt;20973.0;5.7;10.6;14.9;33.9;17.6;211.0;207.0;2.0;2.0;108.0;14173.0;31.0;4.2;42.1;23.7
031510000000;Gifhorn, Landkreis;19939.0;5.8;11.1;16.9;33.5;10.8;329.0;310.0;10.0;9.0;70.0;28815.0;10.6;0.6;52.0;33.8
031530000000;Goslar, Landkreis;18436.0;9.4;8.5;17.9;36.7;8.7;382.0;342.0;34.0;6.0;233.0;49776.0;10.8;1.0;28.4;58.2
031540000000;Helmstedt, Landkreis;19847.0;8.0;9.5;15.8;41.1;8.6;356.0;347.0;8.0;1.0;12.0;24325.0;12.1;0.9;59.4;24.6
031550000000;Northeim, Landkreis;18791.0;7.3;10.7;18.7;29.9;8.6;365.0;346.0;19.0;0.0;171.0;60981.0;11.5;0.9;48.4;38.8
031570000000;Peine, Landkreis;18908.0;6.5;9.9;16.6;34.6;9.2;281.0;265.0;9.0;7.0;220.0;64855.0;17.8;1.6;69.2;10.3
031580000000;Wolfenbüttel, Landkreis;19096.0;6.7;8.9;19.3;36.1;9.4;260.0;240.0;18.0;2.0;46.0;20271.0;12.0;1.2;67.3;19.2
032410000000;Region Hannover, Landkreis;19422.0;8.6;9.2;15.2;16.3;23.2;3495.0;3289.0;181.0;25.0;1551.0;324683.0;22.1;2.5;53.8;19.8
032510000000;Diepholz, Landkreis;20248.0;4.5;11.3;18.1;27.6;9.4;409.0;377.0;31.0;1.0;555.0;95700.0;12.5;0.6;74.6;10.0
032520000000;Hameln-Pyrmont, Landkreis;19111.0;8.2;10.5;16.1;35.4;15.2;521.0;479.0;29.0;13.0;135.0;49383.0;14.2;1.4;52.0;32.0
032540000000;Hildesheim, Landkreis;18529.0;8.1;9.7;16.5;42.8;11.9;755.0;727.0;28.0;0.0;729.0;122440.0;15.3;1.5;58.2;24.3
032550000000;Holzminden, Landkreis;18525.0;8.2;9.9;19.0;33.9;8.3;261.0;253.0;7.0;1.0;51.0;17072.0;10.7;1.0;41.9;45.6
032560000000;Nienburg (Weser), Landkreis;18340.0;6.0;11.0;19.7;30.2;10.2;308.0;291.0;17.0;0.0;101.0;24487.0;11.3;0.5;66.6;17.9
032570000000;Schaumburg, Landkreis;19086.0;7.9;11.1;18.8;37.0;13.7;442.0;395.0;41.0;6.0;313.0;54682.0;17.6;1.1;54.3;25.8
033510000000;Celle, Landkreis;18201.0;8.2;12.0;16.5;36.5;11.2;614.0;588.0;26.0;0.0;140.0;67257.0;11.4;0.7;38.1;45.0
033520000000;Cuxhaven, Landkreis;19035.0;6.3;11.2;17.9;32.5;9.3;456.0;438.0;17.0;1.0;206.0;47767.0;11.0;0.6;76.1;8.6
033530000000;Harburg, Landkreis;23018.0;5.0;10.0;20.1;31.9;12.0;372.0;330.0;35.0;7.0;496.0;93794.0;16.2;1.2;52.5;28.5
033540000000;Lüchow-Dannenberg, Landkreis;17725.0;10.4;10.1;15.9;39.2;5.9;75.0;69.0;3.0;3.0;35.0;7911.0;8.1;0.3;52.0;37.1
033550000000;Lüneburg, Landkreis;18445.0;6.4;9.6;14.6;29.6;9.1;427.0;398.0;25.0;4.0;66.0;32707.0;11.4;1.1;51.5;31.2
033560000000;Osterholz, Landkreis;19739.0;4.4;8.2;19.5;34.4;11.0;276.0;244.0;30.0;2.0;188.0;39955.0;15.2;0.9;68.1;11.7
033570000000;Rotenburg (Wümme), Landkreis;19187.0;4.8;10.8;17.2;30.5;7.0;376.0;356.0;16.0;4.0;111.0;41313.0;10.7;0.5;71.9;15.6
