JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;000000000000;Deutschland;19452.0;7.7;10.0;16.4;35.2;15.5;168458.0;153549.0;12770.0;2139.0;131292.0;38998210.0;13.4;1.1;52.3;30.1
2011;000000000000;Deutschland;20035.0;7.1;9.4;18.2;35.5;15.8;159418.0;145702.0;11798.0;1918.0;140339.0;31544350.0;13.5;1.2;51.9;30.5
2012;000000000000;Deutschland;20487.0;6.8;9.5;18.8;35.6;16.4;150298.0;137653.0;10826.0;1819.0;183492.0;51707334.0;13.5;1.2;51.8;30.5
2013;000000000000;Deutschland;20739.0;6.9;9.4;19.3;35.6;17.1;141332.0;129269.0;10264.0;1799.0;173541.0;37823747.0;13.6;1.2;51.7;30.5
2014;000000000000;Deutschland;21118.0;6.7;8.9;20.0;37.2;18.3;134871.0;123231.0;9924.0;1716.0;126681.0;35320152.0;13.7;1.2;51.7;30.6
2015;000000000000;Deutschland;21583.0;6.4;8.5;20.3;37.2;20.2;127683.0;116092.0;9715.0;1876.0;118089.0;26474846.0;13.7;1.2;51.6;30.6
2010;010000000000;Schleswig-Holstein;19524.0;7.5;11.3;14.7;32.3;10.5;7287.0;6772.0;446.0;69.0;5116.0;1003949.0;12.6;0.9;69.8;10.5
2011;010000000000;Schleswig-Holstein;20122.0;7.2;10.7;16.5;32.2;10.6;6803.0;6368.0;382.0;53.0;9330.0;1037640.0;12.7;1.1;70.0;10.5
2012;010000000000;Schleswig-Holstein;20745.0;6.9;10.7;17.4;33.4;10.7;6477.0;6049.0;366.0;62.0;4731.0;1999054.0;12.7;1.1;70.0;10.5
2013;010000000000;Schleswig-Holstein;21150.0;6.9;11.0;17.7;34.0;11.1;5928.0;5538.0;342.0;48.0;4679.0;1261755.0;12.8;1.1;69.9;10.5
2014;010000000000;Schleswig-Holstein;21479.0;6.8;10.5;18.7;36.9;11.9;5796.0;5467.0;287.0;42.0;3993.0;1935455.0;12.9;1.1;69.8;10.6
2015;010000000000;Schleswig-Holstein;21964.0;6.5;10.2;19.5;37.1;13.7;5384.0;5033.0;282.0;69.0;4025.0;1316094.0;12.9;1.1;69.7;10.6
2010;010010000000;Flensburg, Kreisfreie Stadt;17859.0;12.7;11.8;12.2;28.9;10.6;331.0;299.0;30.0;2.0;483.0;74906.0;51.3;3.1;27.2;6.1
2011;010010000000;Flensburg, Kreisfreie Stadt;18079.0;11.8;12.0;12.9;30.7;10.2;323.0;292.0;26.0;5.0;277.0;60950.0;51.8;3.5;26.8;6.1
2012;010010000000;Flensburg, Kreisfreie Stadt;18545.0;11.3;12.5;13.5;31.9;9.9;298.0;277.0;20.0;1.0;205.0;29554.0;51.8;3.5;26.7;6.1
2013;010010000000;Flensburg, Kreisfreie Stadt;18632.0;11.1;12.3;14.3;33.8;9.5;302.0;272.0;27.0;3.0;182.0;41216.0;51.9;3.6;26.5;6.3
2014;010010000000;Flensburg, Kreisfreie Stadt;18973.0;10.5;13.2;14.3;36.4;10.4;199.0;184.0;13.0;2.0;182.0;19124.0;52.2;3.6;26.2;6.3
2015;010010000000;Flensburg, Kreisfreie Stadt;18744.0;10.0;12.8;13.9;36.2;12.4;172.0;158.0;12.0;2.0;83.0;17695.0;52.5;3.7;25.7;6.3
2010;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;17254.0;10.8;8.4;10.3;34.8;16.6;691.0;644.0;37.0;10.0;299.0;49424.0;53.8;5.5;30.1;5.8
2011;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;17528.0;11.0;8.4;12.1;36.0;16.1;695.0;663.0;27.0;5.0;574.0;64162.0;53.9;5.9;30.0;5.8
2012;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;17940.0;10.1;8.8;13.8;36.4;16.0;622.0;590.0;27.0;5.0;291.0;50876.0;54.0;5.9;30.0;5.8
2013;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;18511.0;10.2;9.6;14.0;34.0;16.1;494.0;467.0;23.0;4.0;140.0;35124.0;54.0;5.9;29.9;5.8
2014;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;18811.0;10.1;9.2;14.9;38.2;17.7;483.0;462.0;21.0;0.0;396.0;147248.0;54.1;5.9;29.8;5.8
2015;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;19197.0;9.9;9.0;16.0;38.7;20.5;404.0;389.0;9.0;6.0;357.0;28114.0;54.2;5.9;29.7;5.8
2010;010030000000;Lübeck, Hansestadt, Kreisfreie Stadt;17525.0;11.2;11.7;12.7;41.1;14.3;697.0;670.0;23.0;4.0;624.0;85679.0;36.6;5.2;32.7;14.4
2011;010030000000;Lübeck, Hansestadt, Kreisfreie Stadt;17851.0;11.0;11.2;13.7;36.9;14.3;644.0;616.0;26.0;2.0;319.0;121846.0;36.6;5.5;32.7;14.4
2012;010030000000;Lübeck, Hansestadt, Kreisfreie Stadt;18371.0;10.4;10.5;14.2;39.1;14.8;643.0;621.0;15.0;7.0;275.0;49434.0;36.7;5.5;32.6;14.4
2013;010030000000;Lübeck, Hansestadt, Kreisfreie Stadt;18491.0;10.4;10.9;14.2;34.9;15.2;574.0;560.0;12.0;2.0;389.0;87613.0;36.8;5.5;32.5;14.4
