JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;000000000000;Deutschland;19452.0;7.7;10.0;16.4;35.2;15.5;168458;153549;12770;2139;131292;38998210;13.4;1.1;52.3;30.1
2010;010000000000;Schleswig-Holstein;19524.0;7.5;11.3;14.7;32.3;10.5;7287;6772;446;69;5116;1003949;12.6;0.9;69.8;10.5
2010;010010000000;Flensburg, Kreisfreie Stadt;17859.0;12.7;11.8;12.2;28.9;10.6;331;299;30;2;483;74906;51.3;3.1;27.2;6.1
2010;010020000000;Kiel, Landeshauptstadt, Kreisfreie Stadt;17254.0;10.8;8.4;10.3;34.8;16.6;691;644;37;10;299;49424;53.8;5.5;30.1;5.8
2010;010030000000;Lübeck, Hansestadt, Kreisfreie Stadt;17525.0;11.2;11.7;12.7;41.1;14.3;697;670;23;4;624;85679;36.6;5.2;32.7;14.4
2010;010040000000;Neumünster, Kreisfreie Stadt;16512.0;11.5;12.7;12.3;31.4;13.4;282;270;12;0;147;24739;49.5;4.9;42.8;4.5
2010;010510000000;Dithmarschen, Landkreis;18218.0;8.5;14.6;14.0;28.5;5.0;430;399;27;4;317;54882;10.7;0.5;75.8;3.7
2010;010530000000;Herzogtum Lauenburg, Landkreis;20628.0;6.4;12.9;14.1;32.0;11.8;453;370;78;5;209;56585;11.2;0.8;58.4;25.6
2010;010540000000;Nordfriesland, Landkreis;20369.0;7.5;11.6;16.5;37.8;4.8;391;347;25;19;273;45506;10.3;0.6;75.7;4.2
2010;010550000000;Ostholstein, Landkreis;19459.0;7.4;10.7;16.9;31.3;6.1;501;476;17;8;272;63379;11.4;1.1;72.3;10.1
2010;010560000000;Pinneberg, Landkreis;21865.0;6.1;12.0;14.6;24.8;17.0;683;620;51;12;279;88074;21.1;2.1;61.6;8.8
2010;010570000000;Plön, Landkreis;19188.0;6.3;10.5;16.4;29.3;5.6;301;286;15;0;170;53072;9.2;0.9;68.5;11.3
2010;010580000000;Rendsburg-Eckernförde, Landkreis;19552.0;6.0;10.6;16.6;29.2;6.5;588;556;31;1;355;71726;10.8;0.7;72.4;11.4
