ID;PLZ;Region;Strassenname;Anzahl_Mitarbeiter;Verkaufsflaeche;Jahresumsatz;longitude;latitude
1;06502;Thale;Musestieg 5;15;30.0;5.0;11.0445755;51.75044760000001
2;06484;Quedlinburg;Oeringer Str. 20;42;98.0;14.0;11.156255900000001;51.7899816
3;06493;Ballenstedt;Felsenkellerweg 21;54;189.0;27.0;11.221021400000001;51.7232837
4;06567;Bad Frankenhausen;Kyffhäuserstr. 64;24;64.0;8.0;11.1045009;51.3534122
5;06526;Sangerhausen;Weinbergstr. 2;230;1150.0;115.0;11.3008606;51.45857410000001
6;06577;Heldrungen;Hauptstr. 55/56;18;42.0;6.0;11.2186215;51.302499600000004
7;06449;Aschersleben;Geschwister-Scholl-Str. 55;567;1323.0;189.0;11.4554998;51.76002399999999
8;06556;Artern;Kachstedter Str. 4;432;1296.0;216.0;11.285871400000001;51.37432020000001
9;06343;Mansfeld;Klausstr. 1A;675;1350.0;225.0;11.462590800000001;51.60482589999999
10;06333;Hettstedt;Doktorsteg 2;60;210.0;30.0;11.5165972;51.6479145
11;06295;Eisleben;Rathenau-Straße;528;1056.0;176.0;11.5542584;51.5201936
12;06295;Eisleben;Hallesche Str. 88;216;1080.0;108.0;11.5566008;51.52163299999999
13;06571;Roßleben;Friedenstr. 7;429;1430.0;143.0;11.434939300000002;51.29756870000001
14;06406;Bernburg;Am Platz der Jugend 1A;392;1176.0;196.0;11.737381599999999;51.80348970000001
15;06406;Bernburg;Parkstraße/ Mauerstr. 1;840;2520.0;420.0;11.7512509;51.7903887
16;06268;Querfurt;Merseburger Str. 67;864;2592.0;432.0;11.608623800000002;51.3816835
17;07426;Königsee;Am Kümmelbrunnen;306;510.0;102.0;11.1055954;50.66186679999999
18;06366;Köthen;Leipziger Str. 36I;972;3402.0;486.0;11.9908825;51.7459955
19;06126;Halle-Nördl.Neustadt;Nietlebener Str. 3;988;3458.0;494.0;11.9117257;51.4806448
20;06385;Aken;Kaiserstr. 48;1140;1900.0;380.0;12.038316499999999;51.8507488
21;06628;Bad Kösen;Naumburger Straße;1701;5670.0;567.0;11.7258836;51.1394521
22;06628;Bad Kösen;Salinenstr. 8;132;660.0;66.0;11.7258981;51.1389485
23;06128;Halle-Trotha;Trothaer Str. 62;1058;4232.0;529.0;11.957732;51.5173567
24;06118;Halle;Trothaer Str. 62;1056;5280.0;528.0;11.957732;51.5173567
25;07407;Rudolstadt-West;Schwarzburger Chaussee 59-61;225;450.0;75.0;11.319663499999999;50.71291369999999
26;06110;Halle-Mitte;Böllberger Weg 26A;1092;4914.0;546.0;11.9593477;51.4685224
27;07407;Rudolstadt-Ost;Frenzelstr. 2;2025;6075.0;675.0;11.3721144;50.7259945
28;06128;Halle-Südstadt;Südstadtring 70;1428;2380.0;476.0;11.954419300000001;51.44866889999999
29;07743;Jena-Nord;Camburger Str. 26;1450;5075.0;725.0;11.5924859;50.937940600000005
30;06112;Halle-Mitte;Krausenstr. 9;240;1200.0;120.0;11.983770100000001;51.4874306
31;06122;Halle;Krausenstr. 9;1674;2790.0;558.0;11.9837664;51.4882626
32;07743;Jena-Burgau;Rudolstädter Str. 31;1728;6048.0;864.0;11.5795671;50.90094860000001
33;06130;Halle-Damaschkestraße;Merseburger Str. 221;792;1584.0;264.0;11.9850371;51.4561175
34;06132;Halle-Ammendorf;Broihanstr. 2;952;2856.0;476.0;11.9735506;51.4308916
35;06242;Braunsbedra;Merseburger Str. 79;1470;3675.0;735.0;11.891383;51.2854411
36;06618;Naumburg;Rosa-Luxemburg-Str. 30;1944;6480.0;648.0;11.820824;51.1503171
37;07318;Saalfeld;Fingersteinstr. 22;666;2331.0;333.0;11.3552154;50.65309120000001
38;07318;Saalfeld;Melanchthonstr. 34;456;1824.0;228.0;11.349919;50.644209000000004
39;06217;Merseburg;König-Heinrich-Str. 13;1989;5304.0;663.0;11.9934269;51.358054700000004
40;06217;Merseburg;Str. des Friedens 2;960;2880.0;480.0;11.989704699999999;51.3416529
41;06847;Dessau-Alten;Köthener Str. 70A;410;2050.0;205.0;12.19025;51.82135
42;06844;Dessau;Koethener Str. 70a;2520;6720.0;840.0;12.189838400000001;51.8211305
43;07768;Kahla;Christian-Eckhardt-Str. 40;1290;3870.0;430.0;11.583444199999999;50.811085999999996
44;06667;Weißenfels;Merseburger Str. 72;2552;7656.0;1276.0;11.9667892;51.212413
45;06846;Dessau-Mitte;Askanische Str. 115;2340;11700.0;1170.0;12.2334877;51.8283075
46;06667;Weißenfels;Tagewerben Str. 38;92;276.0;46.0;11.952767800000002;51.2381667
47;06231;Bad Dürrenberg;Breite Str. 58;1128;5076.0;564.0;12.070693499999999;51.2942191
48;06766;Wolfen;Leipziger Str. 83-89;1920;7680.0;960.0;12.2747382;51.66317230000001
49;07381;Pößneck;Neustädter Str. 149;2205;3675.0;735.0;11.614854800000002;50.70218010000001
50;07607;Eisenberg;Jenaer Str. 1-5;600;1400.0;200.0;11.8921364;50.9703064
51;07629;Hermsdorf;Eisenberger Str. 120;2754;8262.0;1377.0;11.858467300000001;50.9059541
52;04435;Schkeuditz;Hallesche Str. 64;2964;5928.0;988.0;12.2117495;51.3953099
53;06749;Bitterfeld;Friedensstr. 5-7;2544;10176.0;1272.0;12.3287677;51.6278797
54;07806;Neustadt/ Orla;Schleizer Str. 10;486;1296.0;162.0;11.753969900000001;50.732935299999994
55;04509;Delitzsch;Richard-Wagner-Str. 9A;3190;7975.0;1595.0;12.330929699999999;51.5172448
56;04420;Markranstädt;Leipziger Str. 67;784;2744.0;392.0;12.229232699999999;51.309268100000004
57;04205;Leipzig-Grünau;Großmiltitzer Str. 45;1368;4560.0;456.0;12.2617223;51.3167943
58;04205;Leipzig-Schönau;Lützner Str. 396;1856;4640.0;928.0;12.289529;51.3237286
59;06773;Gräfenhainichen;Bahnhofstr. 2;1062;5310.0;531.0;12.457381199999999;51.7283451
60;04207;Leipzig-Grünau;Stuttgarter Allee 2;1800;8100.0;900.0;12.292781300000001;51.313993700000005
61;06712;Zeitz;Friedensstr. 27;2562;6405.0;1281.0;12.1264867;51.0422901
62;04177;Leipzig-Altlindenau;Hauschildstr. 1;3720;9300.0;1860.0;12.3228612;51.3382336
63;04229;Leipzig-Plagwitz;Zschochersche Str. 79;5103;8505.0;1701.0;12.3348338;51.32606679999999
64;06712;Zeitz;Geußnitzer Straße;1280;6400.0;640.0;12.1549035;51.0390406
65;04249;Leipzig-Großzschocher;Dieskaustr. 175;4875;11375.0;1625.0;12.328259599999999;51.30411229999999
66;04157;Leipzig-Gohlis;Max-Liebermann-Str. 99;1386;2772.0;462.0;12.377838800000001;51.377118100000004
67;04523;Pegau;Groitzscher Fußweg 1;3216;14472.0;1608.0;12.2629028;51.1644958
68;04523;Pegau;Leipziger Vorstadt / B2;2040;6120.0;680.0;12.2632605;51.165277
69;04129;Leipzig-Eutritzsch;Theresienstr. 5;4554;7590.0;1518.0;12.381573300000001;51.3604093
70;04109;Leipzig-Mitte;Petersstr. 36/44;1890;3150.0;630.0;12.3742164;51.3375369
71;04277;Leipzig-Connewitz;Windscheidstr. 1;639;1065.0;213.0;12.3692227;51.314076
72;07545;Gera-Bieblach;Str. des Bergmanns 10;2376;6336.0;792.0;12.0843581;50.893122399999996
73;04416;Markkleeberg;Koburger Str. 45;3650;14600.0;1825.0;12.3650046;51.28352460000001
74;07552;Gera-Langenberg;Langenberger Str. 21;5994;11988.0;1998.0;12.05546;50.91852
75;07548;Gera-Debschwitz;Str. des Friedens 32/34;3825;11475.0;1275.0;12.0688446;50.8700608
76;04442;Zwenkau;Pegauer Str. 141;1368;6156.0;684.0;12.3253308;51.2045966
77;04277;Leipzig-Marienbrunn;Zwickauer Str. 66;924;3696.0;462.0;12.3948965;51.310744
78;04349;Leipzig-Thekla;Theklaer Str. 150;2340;4680.0;780.0;12.4309019;51.378833799999995
79;07549;Gera-Lusan;Zeulsdorfer Str. 50A;3792;11376.0;1896.0;12.065369800000001;50.844728
80;04318;Leipzig-Sellerhausen;Torgauer Str. 74;1280;6400.0;640.0;12.4203313;51.3474988
81;07907;Schleiz;Geraer Str. 21;5832;13608.0;1944.0;11.8079617;50.5805032
82;04299;Leipzig-Stötteritz;Holzhäuser Str. 104;328;820.0;164.0;12.424119099999999;51.3195799
83;07356;Bad Lobenstein;Zum Tännig 2;3320;9960.0;1660.0;11.652138800000001;50.4503137
84;07546;Gera;Am Flugplatz 5;3024;13608.0;1512.0;12.131039999999999;50.88293609999999
85;06886;Wittenberg;Dessauer Str. 279;2210;9945.0;1105.0;12.6272782;51.866270799999995
86;04328;Leipzig-Paunsdorf;Riesaer Str. 75;5418;9030.0;1806.0;12.46031;51.34632000000001
87;04425;Taucha;Leipziger Str. 117;2349;7830.0;783.0;12.479778900000001;51.37323610000001
88;04564;Böhlen;Röthaer Str. 30C;1056;3520.0;352.0;12.3912269;51.198708
89;06886;Wittenberg;Berliner Chaussee 13;6141;16376.0;2047.0;12.654387300000002;51.880397200000004
90;04610;Meuselwitz;Baderdamm 17;1080;2160.0;360.0;12.3014435;51.043040500000004
91;04849;Bad Düben;Schmiedeberger Str. 56B;4732;14196.0;2366.0;12.5964299;51.59855340000001
92;07937;Zeulenroda;Schopperstr. 32C;1104;2208.0;368.0;11.9905227;50.6549446
93;04838;Eilenburg;Ziegelstr. 4;3906;17577.0;1953.0;12.648368300000001;51.4645157
94;04552;Borna;Lobstädter Str. 17;2820;7050.0;1410.0;12.4880856;51.1222395
95;04617;Lödla-Oberlödla;Lödlaer Chaussee 2;3420;9120.0;1140.0;12.404613099999999;50.9991783
96;04683;Naunhof;Brandiser Str. 88;4608;12288.0;1536.0;12.5884965;51.2882353
97;04552;Borna;Sachsenallee;3686;9215.0;1843.0;12.4948991;51.1255487
98;07926;Gefell;Schleizer Str. 49;3528;11760.0;1176.0;11.860502199999999;50.4410999
99;04626;Schmölln;Ronneburger Str. 118A;1188;5940.0;594.0;12.3340186;50.89371920000001
100;04600;Altenburg;Kauerndorfer Allee 10;3900;9100.0;1300.0;12.4247373;50.9971039
101;04567;Kitzscher;Trageser Str. 36;5151;8585.0;1717.0;12.5517768;51.166883500000004
102;07973;Greiz;August-Bebel-Str. 21;7344;12240.0;2448.0;12.207031599999999;50.655213
103;04654;Frohburg;Wiesenmühlenweg 1;4326;8652.0;1442.0;12.5514947;51.0583777
104;04808;Wurzen;Dresdener Str. 7;1248;2912.0;416.0;12.7367397;51.3674772
105;08451;Crimmitschau;Amselstr. 2;1680;4200.0;840.0;12.3924313;50.81942919999999
106;04668;Grimma;Bahnhofstr. 12;4876;12190.0;2438.0;12.714758699999999;51.228806899999995
107;08393;Meerane;Äussere Crimmitschauer Str. 82;4708;14124.0;2354.0;12.4501304;50.8439008
108;08412;Werdau;Crimmitschauer Str. 8;4536;13608.0;1512.0;12.3779409;50.74014829999999
109;08527;Plauen-Süd;Hofer Str. 21;4142;14497.0;2071.0;12.1401775;50.48936579999999
110;06917;Jessen;Rosa-Luxemburg-str. 70;1760;7920.0;880.0;12.9688351;51.7941781
111;08468;Reichenbach;Zwickauer Str. 97;2997;5994.0;999.0;12.3064421;50.6299848
112;04643;Geithain;Grimmaische Str. 37-39;896;3584.0;448.0;12.6904337;51.059819899999994
113;08115;Lichtentanne;Bahnhofstraße;6780;11300.0;2260.0;12.4179397;50.6985745
114;08371;Glauchau;Hans-Lorenz-Str. 1;9234;21546.0;3078.0;12.5434409;50.8250284
115;08060;Zwickau-Marienthal;Marienthaler Str. 53;1035;2070.0;345.0;12.466926800000001;50.719091
116;08233;Treuen;Oststr. 96;10092;33640.0;3364.0;12.3033733;50.54759989999999
117;08058;Zwickau-Pölbitz;Leipziger Str. 168;4914;12285.0;2457.0;12.4909408;50.7377017
118;08606;Oelsnitz/ Vogtland;Plauensche Str. 67;8142;13570.0;2714.0;12.176513400000001;50.427110299999995
119;08056;Zwickau-Planitz;Am Fuchsgraben 21;4998;16660.0;1666.0;12.4853261;50.70178129999999
120;04860;Torgau;Warschauer Str. 9B;2880;7680.0;960.0;12.9904222;51.558546299999996
121;04680;Colditz;Wassergasse 1;4598;18392.0;2299.0;12.8035632;51.128986299999994
122;09322;Penig;Chemnitzer Str. 98A;2684;8052.0;1342.0;12.7129772;50.92537
123;08112;Wilkau-Haßlau;Zwickauer str. 39;8118;21648.0;2706.0;12.5078252;50.678444299999995
124;08228;Rodewisch;Lengenfelder Str. 3;2232;3720.0;744.0;12.4023859;50.531909399999996
125;08209;Auerbach;Göltzschtalstr. 47;3250;8125.0;1625.0;12.397114;50.4996376
126;04874;Belgern;Bahnhofstr. 10A;4158;6930.0;1386.0;13.1178343;51.480489299999995
127;09337;Hohenstein-Ernstthal;Dresdner Str. 122;1016;4064.0;508.0;12.7319155;50.8033006
128;09212;Limbach-Oberfrohna;Chemnitzer Str. 40;1536;3584.0;512.0;12.777713199999999;50.85426029999999
129;04916;Herzberg;Berliner Str. 1;5805;19350.0;1935.0;13.2479889;51.6959826
130;04758;Oschatz;Altmarkt 17-18;260;1170.0;130.0;13.107533199999999;51.298584999999996
131;08258;Markneukirchen;Adorfer Str. 49;1179;2751.0;393.0;12.317674;50.3096741
132;04736;Waldheim;Hauptstr. 5;2904;8712.0;1452.0;13.0077263;51.0756118
133;09399;Niederwürschnitz;Stollberger Str. 7;3990;11970.0;1995.0;12.7560618;50.7210964
134;08289;Schneeberg;Kobaltstr. 2A;8442;16884.0;2814.0;12.6492523;50.5945484
135;09117;Chemnitz-Siegmar;Zwickauer Str. 391-393;9720;25920.0;3240.0;12.8465767;50.8170972
136;09648;Mittweida;Bahnhofstr. 8-10;5304;15912.0;1768.0;12.9709011;50.98638340000001
137;09116;Chemnitz-Altendorf;Limbacher Str. 208;5343;17810.0;1781.0;12.8752218;50.8333368
138;09366;Stollberg;Chemnitzer Str. 27;1932;7728.0;966.0;12.7835254;50.7152429
139;09116;Chemnitz-Kaßberg;Limbacher Str. 31;1390;3475.0;695.0;12.9019919;50.83828399999999
140;09116;Chemnitz-Kappel;Zwickauer Str. 160;5880;15680.0;1960.0;12.890262199999999;50.8219791
141;08248;Klingenthal;Holzhofstr. 4;4653;13959.0;1551.0;12.4527035;50.3563318
142;09120;Chemnitz-Helbersdorf;Paul-Bertz-Str. 14;4828;19312.0;2414.0;12.8880562;50.8021302
143;08280;Aue;Dr.Otto-Nuschke-Str. 9;858;2288.0;286.0;12.712089599999999;50.59396829999999
144;04720;Döbeln;Schlachthofstr. 2;6048;10080.0;2016.0;13.107040699999999;51.1226566
145;09111;Chemnitz-Schloßchemnitz;Eckstr. 4;870;2320.0;290.0;12.924467100000001;50.845941499999995
146;09120;Chemnitz-Altchemnitz;Wilhelm-Raabe-Str. 52;584;2920.0;292.0;12.915939100000001;50.8175581
147;09130;Chemnitz-Sonnenberg;Fürstenstr. 5;1764;4704.0;588.0;12.9331815;50.837021299999996
148;04720;Döbeln;Dresdner Str. 30;3108;6216.0;1036.0;13.1441761;51.12234609999999
149;09126;Chemnitz-Lutherviertel;Zschopauer Str. 184;6556;29502.0;3278.0;12.9446;50.81779
150;09127;Chemnitz;Zschopauer Str. 184;13050;34800.0;4350.0;12.9448258;50.8176899
151;09669;Frankenberg;Chemnitzer Str. 59;906;2718.0;453.0;13.0274265;50.90845179999999
152;01587;Riesa-Neuweida;Lange Str. 46;3192;9576.0;1064.0;13.2677004;51.311787100000004
153;04741;Roßwein;Döbelner Str. 71;4131;8262.0;1377.0;13.175491099999999;51.065333100000004
154;09661;Hainichen;August-Bebel-Str. 1;616;2772.0;308.0;13.1203414;50.9672388
155;01589;Riesa;August-Bebel-Str. 2;7750;38750.0;3875.0;13.308144400000002;51.2985506
156;01587;Riesa;August-Bebel-Str. 2;3744;14976.0;1872.0;13.308144400000002;51.2985506
157;08340;Schwarzenberg;Karlsbader Str. 42;4710;18840.0;2355.0;12.7839586;50.53461309999999
158;04924;Bad Liebenwerda;Dresdener Str. 29;5688;13272.0;1896.0;13.412870499999999;51.51737499999999
159;09557;Flöha;Augustusburger Str. 92-94;636;1908.0;318.0;13.0786939;50.849549100000004
160;09557;Flöha;Bergstr. 20;8320;41600.0;4160.0;13.075828900000001;50.8460131
161;01612;Nünchritz;Meißner Str. 2D;12075;32200.0;4025.0;13.383181400000002;51.3003221
162;01609;Gröditz;Hauptstr. 77C;4212;12636.0;2106.0;13.4554759;51.418836600000006
163;03253;Doberlug-Kirchhain;Bahnhofsallee 10;9291;21679.0;3097.0;13.5599455;51.6189896
164;04910;Elsterwerda;Schillerstr. 41;8528;25584.0;4264.0;13.525752800000003;51.46496430000001
